Name,Required,ObjectType,Description,ExampleDesiredValue,ExampleUndesiredValue,EmptyValue
Name,Key,System.String," Specifies the name of a DNS server resource record object.",'www',,
IPv4Address,Key,System.String,Specifies the IPv4 address of a host.,'192.168.50.10',,
