Name,Required,ObjectType,Description,ExampleDesiredValue,ExampleUndesiredValue,EmptyValue
Name,Key,System.String,"Specifies the name of a DNS server resource record object.",'bar',,
HostNameAlias,Key,System.String,"Specifies a a canonical name target for a CNAME record. This must be a fully qualified domain name (FQDN).",'quarks.contoso.com',,
